Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-07-10,8.1192,8.1192,8.1192,8.1192,7126698
1997-07-11,8.2921,8.2921,8.2921,8.2921,4507791
1997-07-14,7.4652,7.4652,7.4652,7.4652,1152626
1997-07-15,6.741,6.741,6.741,6.741,2408759
1997-07-16,7.395,7.395,7.395,7.395,1651596
1997-07-17,7.5353,7.6006,7.5353,7.6006,2226149
1997-07-18,7.4278,7.4278,7.1895,7.2222,774007
1997-07-21,7.4278,7.4278,7.3624,7.4278,1059100
1997-07-22,7.4278,7.5353,7.4278,7.4652,686700
1997-07-23,7.4978,7.4978,7.2923,7.3624,588848
1997-07-24,7.4278,7.4278,7.3624,7.3624,717667
1997-07-25,7.395,7.395,7.325,7.325,572795
1997-07-28,7.2596,7.2596,7.1522,7.1522,597081
1997-07-29,7.0868,7.2596,7.0868,7.1895,341733
1997-07-30,7.1895,7.4278,7.1895,7.3624,380905
1997-07-31,7.325,7.325,7.1522,7.1895,378753
1997-08-01,7.1895,7.325,7.1895,7.1895,282671
1997-08-04,7.2596,7.325,7.2596,7.2923,400905
1997-08-05,7.325,7.4278,7.325,7.4278,592796
1997-08-06,7.4278,7.4278,7.325,7.3624,433340
1997-08-07,7.395,7.8808,7.395,7.8435,542197
1997-08-08,7.7408,8.2921,7.7408,8.0865,1073198
1997-08-11,7.9464,7.9464,7.7081,7.7408,771430
1997-08-12,7.7081,7.9464,7.7081,7.8435,637847
1997-08-13,7.9464,7.9464,7.9464,7.9464,854943
1997-08-14,7.6707,7.7735,7.6381,7.6707,370687
1997-08-18,7.5679,7.5679,7.3624,7.4278,356399
1997-08-19,7.6707,7.9464,7.6707,7.8109,666732
1997-08-20,7.8808,7.8808,7.7408,7.7735,653603
1997-08-21,7.6006,7.6006,7.5353,7.5353,226492
1997-08-22,7.4978,7.6707,7.4978,7.6381,217051
1997-08-25,7.5353,7.6381,7.4278,7.4278,203288
1997-08-26,7.4278,7.5679,7.4278,7.4978,237130
1997-08-27,7.4978,7.5679,7.4978,7.5353,222878
1997-08-28,7.7081,7.8808,7.7081,7.8435,887337
1997-08-29,7.7735,7.7735,7.7081,7.7408,949529
1997-09-01,7.6381,7.7081,7.6381,7.6381,252468
1997-09-02,7.7735,7.8435,7.7735,7.8109,587170
1997-09-03,7.8808,8.0538,7.8808,8.0164,1122668
